address,cif_code,comments,dob,first_name,last_name
"440 George Avenue, Bendigo, VIC, Australia",,No user details found.,1977-09-08,Chloe,Kelly
"308 Ocean Road, Williamstown, VIC, Australia",,No user details found.,1963-05-29,Isla,Jones
"457 Garden Street, Bendigo, VIC, Australia",,No user details found.,1993-06-22,Noah,Murphy
"987 Station Crescent, Hawthorn, VIC, Australia",,No user details found.,1982-06-27,Thomas,Robinson
"39 Flinders Street, Redfern, NSW, Australia",,No user details found.,1989-05-27,Mia,Wright
"810 Hill Avenue, Newcastle, NSW, Australia",,No user details found.,1963-05-30,Ruby,Murphy
"501 Ocean Avenue, Sunshine, VIC, Australia",,No user details found.,1962-07-20,Liam,Baker
"717 High Drive, Camberwell, VIC, Australia",,No user details found.,1971-05-30,Harper,White
"708 Forest Way, Hawthorn, VIC, Australia",,No user details found.,1995-03-15,Matilda,Evans
"191 Castlereagh Street, Collingwood, VIC, Australia",,No user details found.,1982-03-07,Olivia,Walker
"206 Bourke Terrace, Bondi Beach, NSW, Australia",,No user details found.,1963-07-16,Charlotte,Martin
"31 King Court, Bendigo, VIC, Australia",,No user details found.,1981-05-11,Liam,King
"532 Harbour Court, Surry Hills, NSW, Australia",,No user details found.,1995-04-07,Ethan,Brown
"988 Crown Parade, Redfern, NSW, Australia",,No user details found.,1987-05-26,Mia,Robinson
"356 Forest Road, North Sydney, NSW, Australia",,No user details found.,1987-04-30,William,Brown
"720 Flinders Parade, Albert Park, VIC, Australia",,No user details found.,1964-08-22,Noah,Wright
"502 Collins Drive, Darlinghurst, NSW, Australia",,No user details found.,1974-07-26,James,Anderson
"951 Elizabeth Terrace, Parramatta, NSW, Australia",,No user details found.,1973-07-05,Thomas,Wilson
"456 Lygon Road, Melbourne, VIC, Australia",,No user details found.,1975-11-09,Henry,Wilson
"383 Bridge Street, Chatswood, NSW, Australia",,No user details found.,1986-02-21,Harper,Smith
"836 Garden Court, Richmond, VIC, Australia",,No user details found.,2000-07-13,Amelia,Wilson
"905 Grove Avenue, Ultimo, NSW, Australia",,No user details found.,1971-02-23,Zoe,Brown
"589 Spencer Terrace, Geelong, VIC, Australia",,No user details found.,1984-08-04,Chloe,Scott
"709 Pitt Drive, Carlton, VIC, Australia",,No user details found.,1963-05-12,Mason,White
"957 Bridge Drive, Docklands, VIC, Australia",,No user details found.,1983-02-22,Oscar,Evans
"256 Ocean Road, Hurstville, NSW, Australia",,No user details found.,2005-10-20,Charlotte,Cooper
"873 Castlereagh Road, Essendon, VIC, Australia",,No user details found.,1966-06-28,Lucas,Wright
"955 Princes Avenue, Manly, NSW, Australia",,No user details found.,1984-11-28,Lucas,Thompson
"726 Flinders Parade, Penrith, NSW, Australia",,No user details found.,1960-06-23,Ella,White
"35 Pacific Crescent, Surry Hills, NSW, Australia",,No user details found.,2002-04-22,Jack,Taylor
"181 Bridge Parade, Geelong, VIC, Australia",,No user details found.,2005-07-04,Leo,Smith
"941 Ocean Drive, Yarraville, VIC, Australia",,No user details found.,1997-04-03,Isla,King
"935 King Street, Melbourne, VIC, Australia",,No user details found.,1967-01-21,Ava,Anderson
"259 Church Court, Paddington, NSW, Australia",,No user details found.,1971-02-15,Sofia,Johnson
"574 Collins Court, Dee Why, NSW, Australia",,No user details found.,1993-08-31,Emily,Wilson
"400 Collins Terrace, Glebe, NSW, Australia",,No user details found.,1981-05-09,Liam,Williams
"457 High Court, South Yarra, VIC, Australia",,No user details found.,1972-05-22,Lucas,Clarke
"922 Grove Drive, Newcastle, NSW, Australia",,No user details found.,1992-08-09,William,Smith
"538 Bridge Avenue, Ballarat, VIC, Australia",,No user details found.,1996-09-25,Zoe,Baker
"232 George Court, Coburg, VIC, Australia",,No user details found.,1984-04-22,Ella,Hall
"361 George Terrace, Darlinghurst, NSW, Australia",,No user details found.,1972-12-18,Benjamin,Scott
"856 Crown Place, Yarraville, VIC, Australia",,No user details found.,1972-06-22,Jack,Evans
"162 Pacific Crescent, Docklands, VIC, Australia",,No user details found.,2000-10-01,Sofia,Murphy
"311 Ocean Lane, Burwood, NSW, Australia",,No user details found.,2000-03-11,Liam,Cooper
"669 Garden Way, St Kilda, VIC, Australia",,No user details found.,1972-01-04,Henry,Walker
"688 Flinders Lane, Wollongong, NSW, Australia",,No user details found.,1987-06-16,Grace,Smith
"63 Elizabeth Avenue, Neutral Bay, NSW, Australia",,No user details found.,1979-04-27,Ella,Evans
"635 Oxford Parade, Yarraville, VIC, Australia",,No user details found.,1986-02-10,Mason,Johnson
"554 Flinders Lane, Bankstown, NSW, Australia",,No user details found.,1987-08-25,William,Hall
"14 Spencer Parade, Ryde, NSW, Australia",,No user details found.,1993-12-12,Oscar,Martin
